Row Labels,Sum of price
Uttar Pradesh,14958
Tamil Nadu,13904
Madhya Pradesh,13261
West Bengal,12031
Odisha,11705
Telangana,11325
Andhra Pradesh,11059
Punjab,9832
Gujarat,9681
Maharashtra,8981
Jammu & Kashmir,8505
Kerala,8089
Assam,7263
Delhi,6627
Rajasthan,6585
Karnataka,6264
Bihar,4303
Uttarakhand,3450
Chhattisgarh,3424
Others,2929
Chandigarh,2456
Himachal Pradesh,1947
Haryana,1847
Up,1697
Arunachal Pradesh,1464
State Bank Of India,1464
seoni,1425
Goa,508
Mumbai,499
Grand Total,187483
,
,
Uttar Pradesh,14958
Tamil Nadu,13904
Madhya Pradesh,13261
West Bengal,12031
Odisha,11705
Telangana,11325
Andhra Pradesh,11059
Punjab,9832
Gujarat,9681
Maharashtra,8981
